iter	MultiClass
0	1.088189152
1	1.078647671
2	1.069608992
3	1.061723659
4	1.05424906
5	1.047838579
6	1.041557826
7	1.035742401
8	1.030198098
9	1.02503322
10	1.020177733
11	1.015968821
12	1.012187172
13	1.008261134
14	1.004343432
15	1.001375946
16	0.9985616718
17	0.9958418013
18	0.9926163696
19	0.9896846728
20	0.986561166
21	0.9847624659
22	0.9821483298
23	0.9803095789
24	0.9782088371
25	0.9762250561
26	0.9738705142
27	0.9720404157
28	0.9705198064
29	0.9688383431
30	0.9672031004
31	0.9653379914
32	0.9636410225
33	0.962112329
34	0.960748503
35	0.959443918
36	0.9579737198
37	0.956877667
38	0.9558265802
39	0.954734274
40	0.9534479664
41	0.9524477554
42	0.9512374361
43	0.950224372
44	0.9491689796
45	0.9482669005
46	0.9475752961
47	0.9465448556
48	0.9457386227
49	0.9448852339
50	0.9440790526
51	0.9435280872
52	0.9430684955
53	0.9423912902
54	0.94179811
55	0.9411310444
56	0.9403224922
57	0.9399666355
58	0.9393930884
59	0.9389637737
60	0.9383440989
61	0.9377256412
62	0.9372525896
63	0.9366592761
64	0.9362585487
65	0.9355479782
66	0.9348707904
67	0.9343409544
68	0.9338641371
69	0.9333833407
70	0.9328038583
71	0.932128165
72	0.9317257118
73	0.9311002457
74	0.9302511184
75	0.9299073416
76	0.9295324439
77	0.9290779107
78	0.9285368794
79	0.9280927446
80	0.9272068962
81	0.9267180409
82	0.9262604521
83	0.9259075051
84	0.9251410514
85	0.9245670937
86	0.9241211304
87	0.9238318912
88	0.923422495
89	0.9224998912
90	0.9221216236
91	0.9214198311
92	0.920809024
93	0.9203594684
94	0.920073827
95	0.9195698863
96	0.9192610294
97	0.9189107194
98	0.9186538318
99	0.9183656053
100	0.9179372242
101	0.9176542666
102	0.9166255694
103	0.9160507575
104	0.9156873343
105	0.9153426704
106	0.9150072451
107	0.9146354809
108	0.914343788
109	0.9140663221
110	0.9137322723
111	0.9133010951
112	0.91289197
113	0.9126608148
114	0.9122723557
115	0.9118756043
116	0.9114648453
117	0.9107466809
118	0.9098225986
119	0.9094585037
120	0.909134331
121	0.9087366506
122	0.9082975031
123	0.9078856795
124	0.9074622785
125	0.9070745252
126	0.9064831102
127	0.9061737696
128	0.9057857486
129	0.9053985383
130	0.9052398528
131	0.9050915681
132	0.904745499
133	0.9044704629
134	0.9041721141
135	0.9040298583
136	0.9035950137
137	0.9033539377
138	0.9030749777
139	0.9028655596
140	0.9024630188
141	0.9022674744
142	0.9018953832
143	0.9013237164
144	0.9007066727
145	0.9000290365
146	0.8996541039
147	0.899307907
148	0.8991623514
149	0.8989117726
150	0.8987190248
151	0.8983880311
152	0.8981299386
153	0.8978663689
154	0.8974652201
155	0.8967051108
156	0.8962995088
157	0.896007319
158	0.8956398719
159	0.8954029247
160	0.8951738169
161	0.8948759768
162	0.8945042554
163	0.8942814754
164	0.8938768307
165	0.8933765834
166	0.8930759212
167	0.8929266007
168	0.8926607391
169	0.8923106311
170	0.8919721663
171	0.8916503162
172	0.8912595412
173	0.8906374902
174	0.8904055095
175	0.8902522933
176	0.8897319154
177	0.8891692431
178	0.8887091919
179	0.8884690008
180	0.888215305
181	0.8878801843
182	0.8876367679
183	0.887367751
184	0.8871116844
185	0.8867262486
186	0.8863766612
187	0.8860392003
188	0.8856172753
189	0.8853988933
190	0.8848477245
191	0.884467654
192	0.8839678699
193	0.8833052128
194	0.882935012
195	0.8825823256
196	0.8821885059
197	0.8817978867
198	0.8814563948
199	0.8810560491
200	0.8806930989
201	0.8804580417
202	0.880075311
203	0.8796953056
204	0.8792464363
205	0.8786759278
206	0.8783217018
207	0.877946625
208	0.8773928739
209	0.8770058533
210	0.87647689
211	0.8760889585
212	0.8757430083
213	0.8753797863
214	0.8750086731
215	0.8746888792
216	0.8742498585
217	0.8738958829
218	0.8733146413
219	0.8730436455
220	0.872548955
221	0.8722529749
222	0.8717118618
223	0.8712338781
224	0.8709823572
225	0.870499688
226	0.870200456
227	0.8699508163
228	0.8696573033
229	0.869372981
230	0.8690077078
231	0.8687231752
232	0.8684247658
233	0.8681314344
234	0.86771178
235	0.867237363
236	0.8668036156
237	0.8664333163
238	0.8661116017
239	0.8655499974
240	0.8651417054
241	0.8647574246
242	0.8644506845
243	0.8641883242
244	0.8636299576
245	0.8633381569
246	0.8629550213
247	0.8626569134
248	0.862159626
249	0.8619578077
250	0.8614677192
251	0.8611745167
252	0.8607225235
253	0.8602557941
254	0.8597238951
255	0.8593947278
256	0.8590104137
257	0.8587733769
258	0.8584107771
259	0.8580226398
260	0.8577358808
261	0.8574833574
262	0.8573236588
263	0.8569596126
264	0.8565939998
265	0.8562645388
266	0.8559183215
267	0.855451186
268	0.8551973856
269	0.8548743228
270	0.8545459585
271	0.8541288931
272	0.8534623562
273	0.8530656888
274	0.8526865776
275	0.8524116109
276	0.852163701
277	0.8517991161
278	0.8515303878
279	0.8512009771
280	0.8508827882
281	0.8505919961
282	0.8503308493
283	0.849876181
284	0.8495621336
285	0.8490420268
286	0.8487977035
287	0.8485159085
288	0.8481291368
289	0.8477176036
290	0.8475964167
291	0.84734472
292	0.8471319893
293	0.8467995515
294	0.8465060341
295	0.8462818817
296	0.8458413839
297	0.8455118314
298	0.8453442914
299	0.8449869479
