iter	Passed	Remaining
0	70	21005
1	72	10771
2	74	7352
3	76	5642
4	78	4608
5	80	3920
6	81	3422
7	83	3050
8	85	2769
9	87	2534
10	89	2347
11	91	2190
12	93	2056
13	95	1940
14	96	1840
15	98	1756
16	100	1679
17	102	1608
18	104	1543
19	106	1487
20	108	1436
21	109	1389
22	111	1345
23	113	1307
24	115	1270
25	117	1236
26	119	1205
27	120	1174
28	122	1145
29	124	1119
30	126	1098
31	128	1076
32	130	1054
33	132	1034
34	134	1015
35	135	995
36	137	978
37	139	961
38	141	945
39	143	929
40	144	915
41	147	904
42	149	891
43	150	878
44	152	866
45	154	854
46	156	842
47	158	831
48	160	820
49	162	810
50	163	800
51	165	791
52	167	780
53	169	771
54	171	762
55	172	753
56	174	745
57	176	736
58	178	728
59	180	720
60	182	713
61	183	705
62	185	697
63	187	690
64	189	683
65	190	676
66	192	670
67	194	664
68	196	658
69	198	652
70	200	647
71	202	641
72	204	635
73	206	629
74	208	624
75	209	618
76	211	612
77	213	607
78	215	602
79	217	597
80	219	593
81	221	588
82	223	583
83	225	579
84	227	574
85	229	571
86	231	566
87	233	561
88	235	557
89	237	553
90	239	549
91	241	545
92	243	541
93	245	537
94	247	533
95	249	530
96	251	525
97	253	522
98	255	517
99	257	514
100	259	510
101	261	506
102	263	503
103	265	499
104	267	495
105	268	492
106	270	488
107	272	485
108	274	481
109	276	477
110	278	474
111	280	471
112	282	467
113	284	463
114	286	460
115	288	457
116	290	454
117	292	451
118	294	448
119	296	445
120	298	442
121	300	438
122	303	436
123	305	433
124	307	430
125	309	427
126	311	424
127	313	421
128	315	418
129	317	415
130	319	412
131	321	409
132	323	406
133	325	403
134	327	400
135	329	397
136	331	394
137	334	392
138	336	389
139	338	386
140	340	383
141	342	380
142	344	377
143	346	375
144	348	372
145	350	369
146	352	367
147	354	364
148	356	361
149	358	358
150	360	356
151	362	353
152	365	351
153	367	348
154	369	345
155	371	343
156	374	340
157	376	338
158	378	335
159	380	332
160	382	330
161	384	327
162	386	324
163	388	321
164	390	319
165	392	316
166	394	314
167	396	311
168	398	309
169	400	306
170	403	304
171	405	301
172	407	299
173	409	296
174	411	294
175	413	291
176	415	289
177	418	286
178	420	284
179	422	281
180	424	279
181	426	276
182	429	274
183	431	271
184	433	269
185	435	266
186	437	264
187	439	262
188	442	259
189	444	257
190	446	254
191	448	252
192	450	249
193	453	247
194	455	245
195	457	242
196	459	240
197	462	238
198	464	235
199	466	233
200	469	231
201	471	228
202	474	226
203	476	224
204	478	221
205	480	219
206	482	216
207	484	214
208	487	212
209	489	209
210	491	207
211	494	205
212	496	202
213	498	200
214	500	198
215	503	195
216	505	193
217	507	190
218	510	188
219	512	186
220	514	183
221	516	181
222	518	179
223	521	176
224	523	174
225	525	172
226	528	169
227	530	167
228	532	165
229	534	162
230	536	160
231	539	158
232	541	155
233	543	153
234	546	151
235	548	148
236	550	146
237	553	144
238	555	141
239	557	139
240	559	137
241	562	134
242	564	132
243	566	130
244	569	127
245	571	125
246	574	123
247	576	120
248	578	118
249	581	116
250	583	113
251	585	111
252	588	109
253	590	106
254	593	104
255	595	102
256	598	100
257	600	97
258	602	95
259	604	93
260	607	90
261	609	88
262	611	86
263	613	83
264	616	81
265	618	79
266	620	76
267	623	74
268	625	72
269	627	69
270	629	67
271	632	65
272	634	62
273	637	60
274	639	58
275	641	55
276	643	53
277	646	51
278	648	48
279	651	46
280	653	44
281	656	41
282	658	39
283	661	37
284	663	34
285	665	32
286	668	30
287	670	27
288	673	25
289	675	23
290	678	20
291	680	18
292	682	16
293	684	13
294	687	11
295	689	9
296	691	6
297	694	4
298	696	2
299	699	0
